trome#2021-03-02#02.png - Time needed: 0.3429s - Config 222: Binarization.niblack, SkewCorrection.topline, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.1760s - Config 229: Binarization.niblack, SkewCorrection.scanline, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.1540s - Config 231: Binarization.niblack, SkewCorrection.scanline, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.1670s - Config 233: Binarization.niblack, SkewCorrection.moments, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.1335s - Config 234: Binarization.niblack, SkewCorrection.moments, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.2213s - Config 232: Binarization.niblack, SkewCorrection.moments, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.2952s - Config 230: Binarization.niblack, SkewCorrection.scanline, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.1437s - Config 237: Binarization.niblack, SkewCorrection.moments, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.2480s - Config 239: Binarization.niblack, SkewCorrection.moments, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.3083s - Config 238: Binarization.niblack, SkewCorrection.moments, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 15.4146s - Config 91: Binarization.adaptive_mean, SkewCorrection.hough_transform, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 23.4127s - Config 3: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 23.3150s - Config 27: Binarization.basic, SkewCorrection.scanline, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 23.0204s - Config 107: Binarization.adaptive_mean, SkewCorrection.scanline, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 24.5367s - Config 67: Binarization.otsu, SkewCorrection.scanline, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 23.5212s - Config 171: Binarization.yannihorne, SkewCorrection.hough_transform, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 24.1680s - Config 123: Binarization.adaptive_gaussian, SkewCorrection.boxes, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 23.3654s - Config 187: Binarization.yannihorne, SkewCorrection.scanline, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 23.2834s - Config 195: Binarization.yannihorne, SkewCorrection.moments, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 23.9177s - Config 163: Binarization.yannihorne, SkewCorrection.boxes, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 24.4872s - Config 131: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 23.5492s - Config 203: Binarization.niblack, SkewCorrection.boxes, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 25.7721s - Config 43: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 25.9380s - Config 83: Binarization.adaptive_mean, SkewCorrection.boxes, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 27.0609s - Config 11: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 27.0094s - Config 51: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 25.9121s - Config 147: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 27.0181s - Config 115: Binarization.adaptive_mean, SkewCorrection.moments, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 25.7254s - Config 227: Binarization.niblack, SkewCorrection.scanline, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 28.8352s - Config 75: Binarization.otsu, SkewCorrection.moments, NoiseRemoval.conservative_filter
